airline,date,departure_time,arrival_time,departure_place,arrival_place,flight_time,seat,price,day,holiday
에어서울,2023-08-05,11:00,12:10,CJU,GMP,70,할인석,103600,토요일,주말
에어서울,2023-08-05,11:00,12:10,CJU,GMP,70,특가석,111900,토요일,주말
에어서울,2023-08-05,11:00,12:10,CJU,GMP,70,일반석,119700,토요일,주말
티웨이항공,2023-08-05,11:05,12:15,CJU,GMP,70,할인석,108000,토요일,주말
티웨이항공,2023-08-05,11:05,12:15,CJU,GMP,70,일반석,118700,토요일,주말
대한항공,2023-08-05,11:15,12:30,CJU,GMP,75,일반석,129700,토요일,주말
티웨이항공,2023-08-05,11:35,12:45,CJU,GMP,70,할인석,108000,토요일,주말
티웨이항공,2023-08-05,11:35,12:45,CJU,GMP,70,일반석,118700,토요일,주말
제주항공,2023-08-05,11:40,12:50,CJU,GMP,70,할인석,103600,토요일,주말
티웨이항공,2023-08-05,11:40,12:50,CJU,GMP,70,할인석,114000,토요일,주말
티웨이항공,2023-08-05,11:40,12:50,CJU,GMP,70,일반석,118700,토요일,주말
제주항공,2023-08-05,11:40,12:50,CJU,GMP,70,일반석,119200,토요일,주말
이스타항공,2023-08-05,11:45,12:55,CJU,GMP,70,할인석,108600,토요일,주말
이스타항공,2023-08-05,11:45,12:55,CJU,GMP,70,일반석,119600,토요일,주말
제주항공,2023-08-05,12:10,13:20,CJU,GMP,70,일반석,119200,토요일,주말
아시아나항공,2023-08-05,12:10,13:20,CJU,GMP,70,할인석,126700,토요일,주말
아시아나항공,2023-08-05,12:10,13:20,CJU,GMP,70,일반석,132700,토요일,주말
티웨이항공,2023-08-05,12:20,13:30,CJU,GMP,70,일반석,118100,토요일,주말
제주항공,2023-08-05,12:20,13:30,CJU,GMP,70,일반석,119200,토요일,주말
진에어,2023-08-05,12:20,13:35,CJU,GMP,75,일반석,119700,토요일,주말
아시아나항공,2023-08-05,12:35,13:45,CJU,GMP,70,할인석,126700,토요일,주말
아시아나항공,2023-08-05,12:35,13:45,CJU,GMP,70,일반석,132700,토요일,주말
